dataset,site,subject,session,missing_task
int,UI,8073,ses-1,PC
int,UI,8073,ses-1,SM
int,UI,8073,ses-1,VNB
int,UI,8073,ses-1,WL
int,UI,8074,ses-2,VNB
int,UI,8076,ses-1,VNB
int,UI,8084,ses-1,VNB
int,UI,8085,ses-1,NTS
int,UI,8088,ses-1,DSST
int,UI,8088,ses-1,VNB
int,UI,8092,ses-1,VNB
int,UI,8121,ses-2,AF
int,UI,8121,ses-2,ATS
int,UI,8121,ses-2,DSST
int,UI,8121,ses-2,DWL
int,UI,8121,ses-2,FN
int,UI,8121,ses-2,LC
int,UI,8121,ses-2,NF
int,UI,8121,ses-2,NNB
int,UI,8121,ses-2,PC
int,UI,8121,ses-2,SM
int,UI,8121,ses-2,VNB
int,UI,8121,ses-2,WL
obs,UI,7004,ses-1,NF
obs,UI,7005,ses-1,NF
obs,UI,7013,ses-1,AF
obs,UI,7023,ses-1,VNB
obs,UI,7047,ses-1,ATS
obs,UI,7060,ses-1,DSST
obs,UI,7060,ses-1,DWL
obs,UI,7060,ses-1,FN
obs,UI,7060,ses-1,LC
obs,UI,7060,ses-1,PC
obs,UI,7060,ses-1,SM
obs,UI,7078,ses-1,NF
obs,UI,7086,ses-1,FN
obs,UI,7086,ses-1,SM
obs,UI,7096,ses-1,LC
obs,UI,7098,ses-1,ATS
obs,UI,7099,ses-1,DWL
obs,UI,7107,ses-1,ATS
obs,UI,7118,ses-1,DWL
obs,UI,7125,ses-1,DSST
obs,UI,7125,ses-1,DWL
obs,UI,7125,ses-1,LC
obs,UI,7125,ses-1,PC
obs,UI,7125,ses-1,WL
obs,UI,7128,ses-1,ATS
obs,UI,7136,ses-1,NF
obs,UI,7137,ses-1,NTS
obs,UI,7139,ses-1,FN
obs,UI,7139,ses-1,VNB
obs,UI,7141,ses-1,NTS
obs,UI,7143,ses-1,DSST
obs,UI,7168,ses-1,LC
obs,UI,7178,ses-1,PC
obs,UI,7189,ses-1,FN
obs,UI,7189,ses-1,LC
obs,UI,7198,ses-1,AF
obs,UI,7198,ses-1,ATS
obs,UI,7198,ses-1,DSST
obs,UI,7198,ses-1,DWL
obs,UI,7198,ses-1,NF
obs,UI,7198,ses-1,NNB
obs,UI,7198,ses-1,NTS
obs,UI,7198,ses-1,PC
obs,UI,7198,ses-1,SM
obs,UI,7198,ses-1,VNB
obs,UI,7198,ses-1,WL
obs,UI,7201,ses-1,NF
obs,UI,7201,ses-1,NNB
obs,UI,7201,ses-1,NTS
obs,UI,7207,ses-1,DWL
obs,UI,7221,ses-1,VNB
obs,UI,7237,ses-1,DSST
obs,UI,7237,ses-1,DWL
obs,UI,7237,ses-1,LC
obs,UI,7237,ses-1,PC
obs,UI,7250,ses-1,ATS
obs,UI,7250,ses-1,VNB
obs,UI,7707,ses-1,SM
obs,UI,7707,ses-1,VNB
obs,UI,7726,ses-1,VNB
obs,UI,7732,ses-1,VNB
obs,UI,7741,ses-1,DSST
obs,UI,7741,ses-1,DWL
obs,UI,7741,ses-1,SM
obs,UI,7978,ses-1,AF
obs,UI,7978,ses-1,ATS
obs,UI,7978,ses-1,DSST
obs,UI,7978,ses-1,DWL
obs,UI,7978,ses-1,FN
obs,UI,7978,ses-1,LC
obs,UI,7978,ses-1,NNB
obs,UI,7978,ses-1,NTS
obs,UI,7978,ses-1,PC
obs,UI,7978,ses-1,SM
obs,UI,7978,ses-1,VNB
obs,UI,7978,ses-1,WL
